,CCC Course,CCC Description,UCSC Course Code,UCSC Course Title,UCSC Description
32,ART 44A Figure Sculpture,"Studies and explores the basic principles, materials and techniques of sculpting the human figure from live models. Emphasizes structure, proportion, balance, and self-expression in three-dimensional form. Develops awareness of historical and contemporary concerns in figure sculpture. Materials explored are clay, wire, and mixed media. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 20H,Introduction to Sculpture and Public Art,"Introduces sculpture and art in public space. The course is composed of lectures, readings, discussions, studio assignments, and demonstrations."
33,ART 34B Sculpture: Direct Processes II,"Continues the study of materials and processes from Sculpture: Direct Processes I with an increased use of a wide variety of materials, which can be sculpted through direct processes. Emphasizes the application of concepts and presentation. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 20H,Introduction to Sculpture and Public Art,"Introduces sculpture and art in public space. The course is composed of lectures, readings, discussions, studio assignments, and demonstrations."
34,ETECH 43 Intermediate 3D Animation,Description not found,CMPM 26,Introduction to 3D Animation,"Introduces theories and techniques of 3D computer animation. Topics include: character animation; rigging; simulation of cloth, liquids, and fire; motion capture; rendering; and editing animated scenes. Students develop proficiency in 3D animation via lectures and assignments focused on the use of a 3D animation tool and use of motion-capture software."
35,CHEM 1A General Chemistry I,"Covers general chemical principles including structure of matter, chemical equations and bonding, gases, solutions, periodic law, acids and bases, and chemical equilibrium. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",CHEM 3A,General Chemistry,"The first course in UCSC's three-quarter introductory chemistry series. Topics in this quarter include atomic theory and structure, the periodic table, chemical bonding, molecules and their structure, intramolecular forces, and chemical reactions and stoichiometry."
36,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",CHEM 3B,General Chemistry,"The second course in UCSC's three-quarter introductory chemistry series. Topics in this quarter include chemical equilibrium, acids and bases, solution pH, buffers and chemical kinetics. Course consists of in-person lecture and a secondary active learning discussion section. In addition to the lecture, students are required to enroll and attend one discussion section."
37,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",CHEM 3C,General Chemistry,"The third course in UCSC’s three-quarter introductory chemistry series. Topics in this quarter include the first and second laws of thermodynamics, redox reactions, electrochemistry, phase changes, and physical properties of solutions. Course consists of in-person lecture and a secondary active learning discussion section. In addition to the lecture, students are required to enroll and attend one discussion section."
38,CHEM 1A General Chemistry I,"Covers general chemical principles including structure of matter, chemical equations and bonding, gases, solutions, periodic law, acids and bases, and chemical equilibrium. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,"The first course of the two-quarter accelerated general chemistry series intended for students with a strong high school chemistry background. Coverage includes atomic structure and periodicity, general concepts of chemical bonding, covalent bonding, chemical equilibria and acid-base equilibria. To enroll in CHEM 4A , students must complete an ALEKS prep module. To access this module, find a link in the ""Class Notes"" section of CHEM 4A in the schedule of classes. Students cannot enroll in CHEM 4A after receiving credit with a 'C' or better in CHEM 3A ."
39,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,"The first course of the two-quarter accelerated general chemistry series intended for students with a strong high school chemistry background. Coverage includes atomic structure and periodicity, general concepts of chemical bonding, covalent bonding, chemical equilibria and acid-base equilibria. To enroll in CHEM 4A , students must complete an ALEKS prep module. To access this module, find a link in the ""Class Notes"" section of CHEM 4A in the schedule of classes. Students cannot enroll in CHEM 4A after receiving credit with a 'C' or better in CHEM 3A ."
40,CHEM 1A General Chemistry I,"Covers general chemical principles including structure of matter, chemical equations and bonding, gases, solutions, periodic law, acids and bases, and chemical equilibrium. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",CHEM 4B,Advanced General Chemistry: Molecular Structure and Reactivity,"The second course of the two-quarter accelerated general chemistry series. Coverage includes thermodynamics; kinetics, oxidation-reduction, and electrochemistry; liquids and solids; intermolecular forces and solutions, including colligative properties; and nuclear chemistry."
41,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",CHEM 4B,Advanced General Chemistry: Molecular Structure and Reactivity,"The second course of the two-quarter accelerated general chemistry series. Coverage includes thermodynamics; kinetics, oxidation-reduction, and electrochemistry; liquids and solids; intermolecular forces and solutions, including colligative properties; and nuclear chemistry."
