,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
606,PHI 195 TOPICS IN,Provides an opportunity to explore topical areas of interest to or needed by students.,,,
607,PHI 198 SEMINAR AND PROJECT,Requires completion of a project or research report related to the student's occupational objectives and a study of approaches to the selection and pursuit of career opportunities in the field.,,,
608,PHI 199 SUPERVISED STUDY,Assigns problems for independent study incorporating previous instruction and supervised by the instructor.,,,
609,PHI 211 THE HISTORY OF WESTERN PHILOSOPHY I,Description not found,,,
610,PHI 212 THE HISTORY OF WESTERN PHILOSOPHY II,Description not found,,,
611,PHI 220 ETHICS,Provides a systematic study of representative ethical concepts and theories and discusses their application to concrete moral dilemmas and social issues and problems. This is a Passport and UCGS transfer course.,PHIL 215,Right and Wrong in the Contemporary World,"ALV CSI A course focused on particular moral issues facing contemporary society and the ethical arguments provoked by them. Topics discussed in the course may include, among others, abortion, euthanasia, hate speech, capital punishment, surrogacy, genetic engineering, war and nuclear arms."
612,PHI 225 SELECTED PROBLEMS,Description not found,,,
613,PHI 226 SOCIAL ETHICS,Description not found,,,
614,PHI 227 BIO-MEDICAL ETHICS,Examines the ethical implications of specific biomedical issues in the context of major ethical systems.,PHIL 315,Biomedical Ethics,"ALV CSI This course employs the resources of ethical theory to examine a variety of ethical issues that arise in the practice of medicine and biomedical research. Some of the topics that may be included are: the doctor-patient relationship, confidentiality and informed consent; the practice of research with human subjects and animals; the definition of death and the ethics of organ transplantation; the moral and legal status of abortion and reproductive technologies; euthanasia and its alternatives; the risks and promises of biotechnology; justice and access to health care and medicines; patents and advertisement of pharmaceutical products."
615,PHI 260 STUDIES IN EASTERN THINKING,"Introduces an in-depth study of the East through a variety of approaches which include music, literature, drama and cinema. Places special emphasis on Chinese and Japanese philosophy and religion, especially Buddhism.",,,
616,PHI 265 PHILOSOPHY OF RELIGION,"Examines problems raised by arguments for and against the existence of God and discusses such topics as the nature of God, the nature of religious experience, the problem of evil, religious truth and language, immortality, miracles, spirituality, and the relation between philosophy and theology.",PHIL 311,Philosophy of Religion,"Prerequisite(s): One course in Philosophy, excluding PHIL 210 and PHIL 301. ALV A philosophical investigation of the nature of religious experience, activity and belief. The course will also include an examination of such topics as those of God, freedom, immortality, arguments for existence of God and the problem of evil."
617,PHI 276 WOMEN AND WESTERN PHILOSOPHY,Description not found,,,
618,PHI 293 STUDIES IN,Covers new content not covered in existing courses in the discipline. Allows instructor to explore content and instructional methods to assess the course's viability as a permanent offering.,,,
619,PHI 295 TOPICS IN,"Error: HTTPSConnectionPool(host='courses.vccs.edu', port=443): Read timed out. (read timeout=10)",,,
620,PHI 298 SEMINAR AND PROJECT,Requires completion of a project or research report related to the student's occupational objectives and a study of approaches to the selection and pursuit of career opportunities in the field.,,,
621,PHI 299 SUPERVISED STUDY,Assigns problems for independent study incorporating previous instruction and supervised by the instructor.,,,
622,PHT 105 BASIC PHOTOGRAPHY,Studies fundamental techniques of the camera and its expressive possibilities.,,,
623,PHT 130 VIDEO I,Introduces the basics of recording and editing video and sound for a variety of intents.  Explores time-based media as an art form and means of communication.  Part I of II.,,,
624,PHT 131 VIDEO II,Continues the basics of recording and editing video and sound for a variety of intents.  Explores time-based media as an art form and means of communication.  Part II of II.,,,
625,PHT 135 ELECTRONIC DARKROOM,"Teaches students to create and manipulate digital photographs. Covers masking, color corrections, and merging of illustrations with photographs. Examines the ethical and property-rights issues which are raised in the manipulation of images.",,,
626,PHT 164 DIGITAL PHOTOGRAPHY,"Introduces fundamental techniques of photography, including digital camera operation, postproduction, and printing. Includes technical and conceptual exercises, individual project development, and group critiques.",,,
