,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
223,EGR 260 CIRCUIT ANALYSIS,"Covers topics in linear circuit analysis, including basic electrical properties, resistive circuits, network equations, operational amplifiers, network reduction techniques, network theorems, two-port parameters and networks, inductors, capacitors, first-order circuits, second-order circuits and phasor analysis.",PHYS 252,Electronics,"Prerequisite(s): PHYS 102 / PHYS 102L or PHYS 108 / PHYS 108L NQR Introduction to electronics, with an emphasis on analog circuits. Theory, design, simulation, debugging, and application of circuits using passive and active components."
224,EGR 267 ENGINEERING ANALYSIS TOOLS,Description not found,MATH 110,Topics in Mathematics,"An introduction to mathematical thought with topics not routinely covered in existing courses. Material may be chosen from calculus, probability, statistics and various other areas of pure and applied mathematics."
225,EGR 271 CIRCUIT THEORY I,"Covers fundamentals of electric circuits. Teaches resistive circuit analysis methods, including network theorems. Features operational amplifiers, capacitors, inductors, resistor-capacitor (RC), resistor-inductor (RL) and resistance-inductance-capacitance (RLC) circuit transient response. Introduces phasor representation of alternating current (AC) circuits. Utilizes circuit design processes, technical writing and computer software for problem solving. Includes laboratory analysis to explore course concepts. Part I of II.",,,
226,EGR 272 CIRCUIT THEORY II,"Covers sinusoidal steady-state circuit response using phasors, frequency analysis of linear circuits including frequency response, Bode plots, Fourier series analysis, and design of basic filters.  Examines Laplace circuit analysis and transfer functions, AC power analysis, nonlinear diode models, and technical writing.  Includes laboratory analysis and open-ended design project. Part II of II.",,,
227,EGR 277 DIGITAL LOGIC,"Presents an introduction to digital logic, including such topics as number systems, Boolean Algebra, minimization techniques, implementation of digital functions, sequential machines, state diagrams, state tables, and programmable logic devices.",,,
228,EGR 278 DIGITAL LOGIC LABORATORY,"Constructs digital logic circuits to verify analysis and design methods. Covers logic gates, combinational and sequential logic circuits, programmable logic devices, measurement techniques, and report writing.",PHYS 252,Electronics,"Prerequisite(s): PHYS 102 / PHYS 102L or PHYS 108 / PHYS 108L NQR Introduction to electronics, with an emphasis on analog circuits. Theory, design, simulation, debugging, and application of circuits using passive and active components."
229,ENG 111 COLLEGE COMPOSITION I,"Introduces and prepares students to the critical processes and fundamentals of writing in academic and professional contexts. Teaches the use of print and digital technologies to promote inquiry. Requires the production of a variety of academic texts, totaling at least 4500 words (15 pages typed) of polished writing. This course requires proficiency in using word processing and learning management software. This is a Passport and UCGS transfer course.",WRIT 101,Writing.,"Practice in writing under supervision, with frequent conferences. This course may be used to satisfy the lower-division writing requirement by students who are not exempted. Each section is limited to 16 students."
230,ENG 112 COLLEGE COMPOSITION II,"Further develops students' ability to write for academic and professional contexts with increased emphasis on argumentation and research. Requires students to evaluate, integrate, and document print and digital sources to produce a range of academic and multimodal texts, culminating in a fully documented research paper. This course requires proficiency in using word processing and learning management software. This is a UCGS transfer course.",ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
231,ENG 125 INTRODUCTION TO LITERATURE,"Introduces students to a range of literary genres that may include poetry, fiction, drama, creative nonfiction, and other cultural texts, as it continues to develop college writing.",,,
232,ENG 137 COMMUNICATION PROCESSES I,"Covers content, form, and procedures for research writings, which may include reports, articles, summaries, essays and correspondence. Stresses editing, proofreading skills, sentence structure, and paragraph development. Offers instruction and practice in oral communication skills. May use reading selections for discussions and writing assignments.  Part I of II.",WRIT 101,Writing.,"Practice in writing under supervision, with frequent conferences. This course may be used to satisfy the lower-division writing requirement by students who are not exempted. Each section is limited to 16 students."
233,ENG 200 INTRODUCTION TO LINGUISTICS,"Introduces the scientific study of language. Focuses on brain and language, phonetics, phonology, morphology, syntax, semantics and pragmatics, and first and second language acquisition.",ENGL 220,,
234,ENG 210 ADVANCED COMPOSITION,Helps students refine skills in writing non-fiction prose. Guides development of individual voice and style. Introduces procedures for publication.,,,
235,"ENG 211 CREATIVE WRITING I TAKEN WITH
ENG 212 CREATIVE WRITING II","Explores fundamentals of writing imaginatively in genres such as poetry, fiction, drama, and essays. Examines terminology and techniques through readings about the craft of creative writing and model texts and provides students the opportunity to apply these techniques in their own writing. Requires students to develop and revise original work through peer and instructor feedback.",CRWR 212,Introduction to Creative Writing,"College Curriculum: ACTV, ARTS Emphasizes the basics of writing fiction, creative nonfiction, and poetry. No previous writing experience is required. Open to all undergraduate students with priority given to academic sophomores and academic freshmen."
236,"ENG 215 CREATIVE WRITING FICTION I TAKEN WITH
ENG 216 CREATIVE WRITING FICTION II",Introduces the fundamentals and techniques of writing short and long fiction.  Part I of II.,CRWR 368,Creative Writing: Fiction,Prerequisite(s): CRWR 212 or instructor approval. An opportunity for students to develop their abilities in imaginative writing of fiction under supervision. Faculty approval required: send instructor writing sample and request prior to registration. Sections limited to 15 students each.
237,"ENG 217 CREATIVE WRITING POETRY I TAKEN WITH
ENG 218 CREATIVE WRITING POETRY II",Introduces the fundamentals and techniques of writing poetry.  Part I of II.,CRWR 369,Creative Writing: Poetry,Prerequisite(s): CRWR 212 or instructor approval. An opportunity for students to develop their abilities in imaginative writing of poetry under supervision. Faculty approval required: send instructor writing sample and request prior to registration. Sections limited to 15 students each.
238,ENG 219 CREATIVE WRITING DRAMA,Introduces the fundamentals and techniques of writing plays.,,,
239,ENG 225 READING LITERATURE: CULTURE & IDEAS,"Examines a set of literary texts linked by a particular theme, with inquiry into the historical, cultural, and/or social contexts of the texts and the theme. Emphasizes interpretive and critical analysis skills developed through close reading and intertextual study, as well as highlights an exploration of cultural ideas. Engages works of diverse genres, authors, and time periods. Specific themes will vary by section. This is a UCGS transfer course.",,,
240,ENG 230 MYSTERING IN LITERATURE AND FILM,"Studies the mystery as a genre, including history, types and cultural aspects of stories, novels, plays, film adaptions. Involves critical reading, writing, and viewing.",ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
241,ENG 233 THE BIBLE AS LITERATURE,"Provides an introduction to the study of the Bible as literature. Examines the intent and presentation of major literary genres found in the Bible, refining skills of analysis, synthesis, and evaluation.",ENGL 310,,
242,ENG 236 INTRODUCTION TO SHORT STORY,"Examines the complexity of the human experience through short stories across a diverse range of cultures and traditions. Develops skills in close reading, writing, research, interpretation, and comparative analysis.",ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
243,ENG 237 INTRODUCTION TO POETRY,"Examines selected poetry, emphasizing the history of the genre. Involves critical reading and writing.",ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
244,ENG 241 SURVEY OF AMERICAN LITERATURE I,"Examines American literary works from colonial times to the present, emphasizing the ideas and characteristics of our national literature. Involves critical reading and writing. Part I of II.",ENGL 207,American Literature: Themes and Issues,"ALV An introduction to American literature through an analysis of major continuing themes, such as the meaning of freedom; literature and the environment; urban-rural dichotomies."
245,ENG 242 SURVEY OF AMERICAN LITERATURE II,"Examines American literary works from colonial times to the present, emphasizing the ideas and characteristics of our national literature. Involves critical reading and writing.Part II of II.",ENGL 363,"Literatures of Emancipation, Reconstruction, and Incorporation","A survey of American literature from the end of the Civil War to the First World War, tracking the many transformations and debates in American literary culture. Writers may include Charles Chesnutt, Theodore Dreiser, Pauline Hopkins, Henry James, Zitkala-Sa, Mark Twain, and Edith Wharton."
246,ENG 243 SURVEY OF ENGLISH LITERATURE I,"Studies major English works from the Anglo-Saxon period to the present, emphasizing ideas and characteristics of the British literary tradition. Involves critical reading and writing. Part I of II.",ENGL 203,British Literature I,"ALV A survey of British literature of the Middle Ages and Renaissance. The course covers narrative, dramatic, and lyric poetry, including works by Chaucer, Spenser, Shakespeare, and Milton."
247,ENG 244 SURVEY OF ENGLISH LITERATURE II,"Studies major English works from the Anglo-Saxon period to the present, emphasizing ideas and characteristics of the British literary tradition. Involves critical reading and writing. Part II of II.",ENGL 204,British Literature II,"ALV A survey of British literature from 1675-1900. The course includes Augustan satire, Romantic and Victorian poetry, and the Victorian novel."
248,ENG 245 BRITISH LITERATURE,"Examines British literary traditions and texts from diverse time periods, genres, and authors. Develops critical thinking and interpretive skills through close reading, discussion, and analysis of literary texts in their historical, cultural, social, and/or literary contexts. This is a UCGS transfer course.",,,
249,ENG 246 AMERICAN LITERATURE,"Examines American literary traditions and texts from diverse time periods, genres, and authors. Analyzes literary works within their historical, cultural, social, and/or literary contexts. Emphasizes skills of close reading.  Develops critical thinking and interpretive skills through discussion, interpretation, and analysis of these texts. This is a UCGS transfer course.",ENGL 207,American Literature: Themes and Issues,"ALV An introduction to American literature through an analysis of major continuing themes, such as the meaning of freedom; literature and the environment; urban-rural dichotomies."
250,ENG 247 SURVEY OF POPULAR CULTURE,"Analyzes familiar aspects of American culture, as seen through popular literature, with additional emphasis on television, film, and popular art.",,,
251,ENG 249 SURVEY OF ASIAN AMERICAN LITERATURE,"Covers major works by Asian American writers from 1900 to the present.  Examines the formation of Asian American subjectivities across the axes of ethnicity, gender, sexuality, and class.  Develops student critical reading, writing and thinking skills via texts, films and cultural studies theories.",AMES 290,Topics in Asian and Middle Eastern Studies,Selected topics in AMES are offered occasionally. The topic to be considered will be announced prior to the beginning of the semester. These courses may be repeated for credit if the topic varies.
252,ENG 250 CHILDREN’S LITERATURE,"Examines the history and development of children's literature of diverse genres, time periods, and authors. Focuses on analysis of texts for literary qualities and audience. Develops critical thinking and interpretive skills through close reading, discussion, and analysis of literary texts. This is a UCGS transfer course.",EDUC 421,Childrenâs Literature,"This course provides a thorough look at the field of childrenâs literature including the value of childrenâs books, criteria for selecting and evaluating childrenâs books, a survey of the categories of childrenâs literature and discussion of issues involving childrenâs literature."
253,ENG 251 SURVEY OF WORLD LITERATURE I,Description not found,ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
254,ENG 252 SURVEY OF WORLD LITERATURE II,Description not found,ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
255,ENG 253 SURVEY OF AFRICAN AMERICAN LITERATURE I,Examines selected works by Black American writers from the colonial period to the present. Involves critical reading and writing. Part I of II.,,,
256,ENG 254 SURVEY OF AFRICAN AMERICAN LITERATURE II,Examines selected works by Black American writers from the colonial period to the present. Involves critical reading and writing. Part II of II.,,,
257,ENG 255 WORLD LITERATURE,"Examines literary texts across a variety of cultures, genres, and time periods. Develops critical thinking and interpretive skills through close reading, discussion, and analysis of literary texts from around the world in their historical, cultural, social, and/or literary contexts. This is a UCGS transfer course.",ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
258,ENG 257 MYTHOLOGICAL LITERATURE,"Studies a variety of mythological works of literature, along with an examination of the allegorical and metaphorical themes within each work, and an understanding of figurative language, symbology and mythical allusions.",,,
259,ENG 258 AFRICAN AMERICAN LITERATURE,"Explores the stories African American authors tell about themselves, their communities, and the world. Examines common and diverging themes within African American literary traditions through the study of diverse authors, genres, and literary movements from a variety of time periods. Emphasizes interpretive and critical analysis skills developed through close reading and consideration of historical and cultural contexts. This is a UCGS transfer course.",ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
260,ENG 267 THE MODERN NOVEL,Studies the modern novel. Emphasizes appreciation and interpretation of selected novels. Requires critical reading and writing.,ENGL 355,Modern Fiction,"Reading, analysis, and discussion of British, Irish, and American fiction writers from the end of the Victorian era through the 1950s. The class will explore the development of modernist fiction writing in the first half of the twentieth century as well as the ways that modernist form and thematic preoccupations affected other styles of writing in the twentieth century."
261,ENG 268 THE MODERN DRAMA,Studies the modern drama. Emphasizes the understanding and enjoyment of dramatic literature. Requires critical reading and writing.,ENGL 358,Modern Drama,"College Curriculum: COLL 350 International survey of European and American drama from Ibsen to Beckett, Baraka, and Pinter (among others), from the advent of theatrical naturalism in the 1870s to the post-WWII experiments classed under the Absurd and new forms of political drama in the 1960s."
262,ENG 271 THE WORKS OF SHAKESPEARE I,Examines selected works of Shakespeare. Involves critical reading and writing. Part I of II.,ENGL 205,An Introduction to Shakespeare,"ALV A general introduction to Shakespeareâs major poetry and plays. Students will read eight to ten plays, chosen to reflect the major periods in Shakespeareâs dramatic development, and some poetry, especially the sonnets. (It is suggested that students have previously taken English 203 or another 200-level course, or have AP credit for 210.)"
263,ENG 272 THE WORKS OF SHAKESPEARE II,Description not found,ENGL 205,An Introduction to Shakespeare,"ALV A general introduction to Shakespeareâs major poetry and plays. Students will read eight to ten plays, chosen to reflect the major periods in Shakespeareâs dramatic development, and some poetry, especially the sonnets. (It is suggested that students have previously taken English 203 or another 200-level course, or have AP credit for 210.)"
264,ENG 273 WOMEN IN LITERATURE I,Examines literature by and about women. Involves critical reading and writing. Part I of II.,ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
265,ENG 274 WOMEN IN LITERATURE II,Examines literature by and about women. Involves critical reading and writing. Part II of II.,ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
266,ENG 275 WOMEN’S LITERATURE,"Examines literary texts by women writers from diverse time periods, genres, and authors.  Develops skills of close reading and literary analysis through analysis of texts within their historical, cultural, social, and/or literary contexts. Explores how women's experiences have shaped their literary contributions, the cultural forces affecting their lives, and how they have used writing to shape their cultures. This is a UCGS transfer course.",ENGL 210,Topics in Literature,"An introduction to a topic in literature, or in literature and another discipline, designed for non-majors. If there is no duplication of topic, may be repeated for credit."
267,ENG 276 SOUTHERN LITERATURE,Examines the themes and techniques of selected writers dealing with the American South as a distinctive cultural entity. Involves critical reading and writing.,,,
268,ENG 278 APPALACHIAN LITERATURE,Examines selected works of outstanding authors of the Appalachian region. Involves critical reading and writing.,,,
269,ENG 279 FILM AND LITERATURE,Examines the translation of literature into film viewing and writing.,,,
270,ENG 288 APPALACHIAN FOLKLORE,Description not found,,,
271,"ENV 121 GENERAL ENVIRONMENTAL SCIENCE I TAKEN WITH
ENV 122 GENERAL ENVIRONMENTAL SCIENCE II","Focuses on basic physical, chemical, and biological principles with an emphasis on the interactions between humans and the environment. Assignments require college-level reading fluency, coherent written and oral communication, and basic mathematical skills. Intended for students not majoring in science. This is a Passport and UCGS transfer course. Can be taken by itself or before or afterENV 122.",ENSP 101,Introduction to Environment and Sustainability,"CSI Additional NQR This team-taught interdisciplinary course brings together perspectives and approaches to environmental problems from natural sciences, social sciences, and humanities. Examines key environmental concepts by exploring case studies such as pollution and contamination disputes, ecosystem management in the Chesapeake Bay, and biodiversity."
272,ENV 136 SURVEY OF ENVIRONMENTAL CONCERNS,"Studies the relationship of man to his physical environment; ecological principles; public health; topics of current importance including air pollution, potable water, waste disposal, communicable disease, poisoning and toxicity, radiation, with particular emphasis on community action programs.",ENSP 101,Introduction to Environment and Sustainability,"CSI Additional NQR This team-taught interdisciplinary course brings together perspectives and approaches to environmental problems from natural sciences, social sciences, and humanities. Examines key environmental concepts by exploring case studies such as pollution and contamination disputes, ecosystem management in the Chesapeake Bay, and biodiversity."
273,ENV 161 INTRO TO ENVIRONMENTAL COMPLIANCE,"Examines the statutory history of significant environmental legislation and the promulgation of rules and regulations attendant to these laws. Emphasis will be placed on 40 CFR and appropriate Virginia environmental code. Students will understand proper field techniques in sampling protocols for soil, water and air.",,,
274,ENV 162 ENVIRONMENTAL PRINCIPLES IN PUBLIC HEALTH,"Examines critical factors involved in environmental/public health administration in the current post-911 society. Includes basic risk analysis and fate and transport modeling, environmental microbiology and toxicology with implications on genetics, GIS, bioterrorism, and infectious diseases.",,,
275,ENV 220 ENVIRONMENTAL PROBLEMS,"Studies the relationship of man to his environment; ecological principles, population dynamics, topics of current importance including air, water, and noise pollution; poisoning and toxicity, radiation, conservation and management of natural resources.",ENSP 101,Introduction to Environment and Sustainability,"CSI Additional NQR This team-taught interdisciplinary course brings together perspectives and approaches to environmental problems from natural sciences, social sciences, and humanities. Examines key environmental concepts by exploring case studies such as pollution and contamination disputes, ecosystem management in the Chesapeake Bay, and biodiversity."
276,ENV 221 NATIONAL RESOURCE MANAGEMENT,Description not found,,,
277,ENV 227 ENVIRONMENTAL LAW,"Introduces environmental law including the history of environmental laws, the National Environment Policy Act, state environmental acts, hazardous wastes, endangered species, pollution, and surface mine reclamation.",,,
278,FRE 101 BEGINNING FRENCH I,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part I of II. This is a UCGS transfer course.",,,
279,FRE 102 BEGINNING FRENCH II,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part II of II. This is a UCGS transfer course.",,,
280,FRE 201 INTERMEDIATE FRENCH I,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and introduces complex sentence structures. Classes may be conducted in target language. Part I of II. This is a UCGS transfer course.",,,
281,FRE 202 INTERMEDIATE FRENCH II,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and emphasizes complex sentence structures. Classes may be conducted in the target language. Part II of II. This is a UCGS transfer course.",,,
282,FRE 203 INTERMEDIATE FRENCH I,"Continues to develop understanding, speaking, reading, and writing skills. Part I of II.",,,
283,FRE 204 INTERMEDIATE FRENCH II,"Continues to develop understanding, speaking, reading, and writing skills. Part II of II.",,,
284,FRE 211 INTERMEDIATE FRENCH CONVERSATION I,Continues to develop fluency through emphasis on idioms and other complex sentence structures. Part I of II,FREN 206,Upper-lntermediate Conversation,Prerequisite(s): FREN 202 or placement by Achievement Test score or consent of instructor A course beyond the Collegeâs foreign language requirement proficiency level stressing the cultural and linguistic notions of oral discourse in developing communicative ability in the language. Practice in simulated foreign cultural contexts through discussion and student presentations on themes in contemporary French life.
285,FRE 212 INTERMEDIATE FRENCH CONVERSATION II,Continues to develop fluency through emphasis on idioms and other complex sentence structures. Part II of II.,FREN 206,Upper-lntermediate Conversation,Prerequisite(s): FREN 202 or placement by Achievement Test score or consent of instructor A course beyond the Collegeâs foreign language requirement proficiency level stressing the cultural and linguistic notions of oral discourse in developing communicative ability in the language. Practice in simulated foreign cultural contexts through discussion and student presentations on themes in contemporary French life.
286,GIS 200 GEOGRAPHICAL INFORMATION SYSTEMS I,"Provides hands-on introduction to a dynamic desktop GIS (Geographic Information System). Introduces the components of a desktop GIS and their functionality. Emphasizes manipulation of data for the purpose of analysis, presentation, and decision-making.",,,
287,GIS 201 GEOGRAPHICAL INFORMATION SYSTEMS II,"Provides a continuation ofGIS 200, with emphasis on advanced topics in problem solving, decision-making, modeling, programming, and data management. Covers map projections and data formats, and methods for solving the problems they create.",,,
288,GIS 205 GIS 3-DIMENSIONAL ANALYSIS,"IntroducesGIS 3D (three-dimensional) concepts and practices with a concentration on displaying, creating and analyzing spatial GIS data using 3D. Covers 3D shape files, 3D data formats such as Tins, DEMs, grids and controlling the perspective and scale of 3D data through rotating, panning and zooming.",,,
289,GIS 210 UNDERSTANDING GEOGRAPHIC DATA,Provides the student an introduction to geographic data and the principles behind their construction. Introduces the concepts for measuring locations and characteristics of entities in the real world. Exposes the student to the limitations and common characteristics of geographic data.,,,
290,GIS 255 EXPLORING OUR EARTH,"Introduces material to understand the fundamental physical and mathematical principles and techniques of Remote Sensing. Introduces how each part of the electromagnetic spectrum is used to gather data about Earth. Describes limitations imposed by satellites, aircraft, and sensors. Surveys various methods to access and apply Earth observation/Remote Sensing data. Teaches students to use Remote Sensing software to process and manipulate Landsat, SPOT, photographic, and other imagery in a hands-on approach to Remote Sensing analysis.",,,
291,GEO 200 INTRO TO PHYSICAL GEOGRAPHY,"Examines the global patterns and processes of the atmosphere, biosphere, lithosphere, and hydrosphere. Explores Earth?s physical systems and the interrelationships among them through studying Earth-Sun geometry, climate and weather phenomena, landforms, biomes, and environmental change.",GEOL 110,Earthâs Environmental Systems: Physical Geography,"NQR CSI Introduction to the interactions between the earthâs environmental systems - the atmosphere, hydrosphere, biosphere, and solid earth. Emphasis will be placed on the relationship between the environment and the human condition. The lab course, GEOL 160 , is optional."
292,GEO 220 WORLD REGIONAL GEOGRAPHY,Examines similarities and differences among the world?s major regions. Evaluates ways in which people and places interact across space and time to produce particular spatial and environmental patterns. Introduces the student to geographic tools such as maps. This is a Passport and UCGS transfer course.,,,
293,GEO 221 REGIONS OF THE WORLD I,Description not found,GOVT 382,,
294,GEO 222 REGIONS OF THE WORLD II,Description not found,,,
295,GEO 230 POLITICAL GEOGRAPHY,"Examines the influence of geography on political systems and nation states. Discusses historic and current events including campaigns, wars, trade, and treaties as functions of land, resources and energy requirements. Introduces students to types and uses of maps",,,
296,GOL 105 PHYSICAL GEOLOGY,"Introduces the science of physical geology through a comprehensive systems-based examination of Earth's structure, composition, rocks and minerals, landforms, geomorphology, and agents responsible for shaping and modifying its environments. Explores the origin and evolution of Earth's topographic and bathymetric features, geologic phenomena, and geologic hazards, resulting from plate tectonics. This is a Passport and UCGS transfer course.",GEOL 101,The Dynamic Earth: Physical Geology,"NQR CSI An investigation of the major features of the earth and its materials and the interaction of the geologic processes active on the surface and in the interior of the earth. Topics include volcanoes, rivers, glaciers, earthquakes, natural resources, and global change. The lab course, GEOL 160 , is optional."
297,GOL 106 HISTORICAL GEOLOGY,Traces the evolution of the earth and life through time. Presents scientific theories of the origin of the earth and life and interprets rock and fossil record. This is a Passport and UCGS transfer course.,,,
298,GOL 110 EARTH SYSTEMS: AN ENVIRONMENTAL GEOL PERSP,"Introduces concepts in earth systems including earth materials, plate tectonics, weathering, surface and groundwater, wasting, volcanoes, earthquakes and coastal, as well as pollution and climate change. Explores major topics relating human interaction with the physical environment through case studies.  Reinforces applications through laboratory experiments, demonstrations, and field studies. This is a Passport and UCGS transfer course.",GEOL 110,Earthâs Environmental Systems: Physical Geography,"NQR CSI Introduction to the interactions between the earthâs environmental systems - the atmosphere, hydrosphere, biosphere, and solid earth. Emphasis will be placed on the relationship between the environment and the human condition. The lab course, GEOL 160 , is optional."
299,GOL 111 OCEANOGRAPHY I,"Examines the dynamics of the oceans and ocean basins. Applies the principles of physical, chemical, biological, and geological oceanography.  Part I of II.",,,
300,GOL 112 OCEANOGRAPHY II,"Examines the dynamics of the oceans and ocean basins. Applies the principles of physical, chemical, biological, and geological oceanography.  Part II of II.",,,
301,GOL 135 FIELD STUDIES IN GEOLOGY,"Investigates geologic phenomena. Includes activities such as observation of regional geology and landforms, collection of samples, and measurement and interpretation of geologic structures.",,,
302,GOL 206 PALEONTOLOGY,"Surveys the major invertebrate and vertebrate fossil groups. Covers the distribution of fossils through time, evolution and biostratigraphic and paleoecologic significance.",GEOL 325,Paleontology,Prerequisite(s): GEOL 160 or GEOL 250 or BIOL 204 The taxonomy of fossil organisms and the role of fossils in the study of organic evolution and the time relations of rock sequences. The laboratory stresses invertebrate morphology and quantitative measurement of local marine fossils. Field trips. Cross-listed with: BIOL 317
303,GOL 207 MINERALOGY,"Provides details for study of minerals. Focuses on the structure and properties of minerals, their occurrence, and uses.",GEOL 321,Rock-Forming Minerals,"Prerequisite(s): GEOL 101 or GEOL 110 or GEOL 150W , and GEOL 160 . An introduction to the structures, compositions, characteristic features, and uses of the most common minerals. This course will emphasize the fundamental role that minerals play as the building blocks of sedimentary, igneous, and metamorphic rocks. Field trips."
304,GOL 225 ENVIRONMENTAL GEOLOGY,Explores the interaction between man and his physical environment. Stresses geologic hazards and environmental pollution utilizing case histories.,GEOL 305,Environmental Geology,"Prerequisite(s): GEOL 101 or GEOL 110 or GEOL 160 or GEOL 250 or ENSP 101 NQR The application of geology toward understanding the connections between human activities and the environment. Topics include climate change, flooding and water pollution, coastal processes, and natural hazard prediction."
305,GER 101 BEGINNING GERMAN I,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part I of II. This is a UCGS transfer course.",,,
306,GER 102 BEGINNING GERMAN II,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part II of II. This is a UCGS transfer course.",,,
307,GER 201 INTERMEDIATE GERMAN I,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and introduces complex sentence structures. Classes may be conducted in target language. Part I of II. This is a UCGS transfer course.",,,
308,GER 202 INTERMEDIATE GERMAN II,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and emphasizes complex sentence structures. Classes may be conducted in the target language. Part II of II. This is UCGS transfer course.",,,
309,GER 293 STUDIES IN,Covers new content not covered in existing courses in the discipline. Allows instructor to explore content and instructional methods to assess the course's viability as a permanent offering.,,,
310,GER 295 TOPICS IN,Provides an opportunity to explore topical areas of interest to or needed by students.,,,
311,GRE 101 INTRO TO ANCIENT GREEK I,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part I of II. This is a UCGS transfer course.",,,
312,GRE 102 INTRO TO ANCIENT GREEK II,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part II of II. This is a UCGS transfer course.",,,
313,GRE 201 INTERMEDIATE GREEK I,Description not found,,,
314,GRE 202 INTERMEDIATE GREEK II,Description not found,,,
315,HLT 110 CONCEPTS PERSONAL & COMMUNITY HEALTH,Introduces students to the basic concepts of health and dimensions of wellness through exploration of a variety of personal health topics. Identifies factors that affect the health status of individuals in addition to health promotion and disease prevention at the personal and community level.,KINE 321,Health and Human Movement,"A survey of several contemporary topics in health including but not limited to mental/emotional health, cardiovascular health, human sexuality, nutrition, psychoactive drugs, alcohol and ethical issues."
316,HLT 115 INTRO TO PERSONAL & COMMUNITY HEALTH,Introduces and focuses on the principles of personal and community health.,,,
317,HLT 116 INTRO TO PERSONAL WELLNESS CONCEPTS,"Introduces students to the dimensions of wellness including the physical, emotional, environmental, spiritual, occupational, and social components.",,,
318,HLT 122 INTRO TO ALCOHOL ABUSE & CONTROL,Description not found,,,
319,HLT 138 PRINCIPLES OF NUTRITION,"Studies nutrient components of food, including carbohydrates, fats, proteins, vitamins, minerals and water. Provides a behavioral approach to nutrient guidelines for the development and maintenance of optimum wellness. This course applies to career/technical education (CTE) programs.HLT 230serves both transfer and CTE programs.",KINE 350,Science of Nutrition,"NQR CSI This introductory Science of Nutrition course provides discussions ranging from the use of scientific inquiry to determine individual nutrient needs to in-depth, life-cycle nutrition issues. It also addresses basic biochemistry and physiology as well as anatomy and physiology from a nutrition science perspective. A four-part âhistory of nutrition scienceâ required reading provides background for understanding our present level of nutrition knowledge. This course also covers assessment of nutritional status, disordered eating, weight loss and gain, body composition, and factors that influence food choices. In addition, the course addresses issues related to food processing, additives, food-borne toxicants, and concerns about ecological sustainability."
320,"HLT 143 MEDICAL TERMINOLOGY I* TAKEN WITH
HLT 144 MEDICAL TERMINOLOGY II*
*if only one is taken, it will transfer as KINE ELT","Provides an understanding of medical abbreviations and terms. Includes the study of prefixes, suffixes, word stems and technical terms with emphasis on proper spelling, pronunciation and usage.",KINE 240,Medical Terminology,"The purpose of this course is to provide the student with the medical terminology to communicate clearly with health professionals and patients. Common medical terms from each of the human body systems will be examined, translated, and pronounced."
321,HLT 200 HUMAN SEXUALITY,"Provides a basic understanding of human sexuality. Includes anatomy, physiology, pregnancy, family planning, venereal diseases, and sexual variations.",PSYC 362,Sexuality,"Prerequisite(s): PSYC 201 and PSYC 202 The study of behaviors associated with courtship and reproduction with an emphasis on humans. Topics include biological and environmental determinants of sexual behavior, physiology and psychology of sexual response, and gender differences."
